PARTY_TYPE,PARTY_NAME,CONTESTED,WON,FORFEITED,VOTES,VOTE_SHARE_PCT,TOTAL_VALID_VOTES,TOTAL_CONSTITUENCIES,TOTAL_CONTESTANTS,AVERAGE_CONTESTANTS_PER_CONSTITUENCY,MINIMUM_CONTESTANTS,MAXIMUM_CONTESTANTS
N,Bharatiya Janata Party,98,1,62,2129726,10.526229425308104,20232563,,,,,
N,Bahujan Samaj Party,74,0,74,47638,0.2354521273454085,20232563,,,,,
N,Communist Party of India,25,19,0,1643878,8.124912301026816,20232563,,,,,
N,Communist Party of India (Marxist),84,58,0,5365472,26.518993169575207,20232563,,,,,
N,Indian National Congress,87,22,0,4794793,23.69839649084498,20232563,,,,,
N,Nationalist Congress Party,4,2,0,237408,1.1733955801842801,20232563,,,,,
O,All India Anna Dravida Munnetra Kazhagam,7,0,7,33440,0.16527812121479615,20232563,,,,,
O,Janata Dal (United),7,0,1,296585,1.4658795329093997,20232563,,,,,
O,Shivsena,16,0,16,4952,0.024475396419128905,20232563,,,,,
O,Samajwadi Party,9,0,9,5257,0.025982867321357163,20232563,,,,,
S,Indian Union Muslim League,23,18,0,1496864,7.3982915560426035,20232563,,,,,
S,Janata Dal (Secular),5,3,0,293274,1.4495148241970135,20232563,,,,,
S,Kerala Congress (M),15,6,0,807718,3.9921684662491845,20232563,,,,,
S,Revolutionary Socialist Party,5,0,0,216071,1.0679368698864302,20232563,,,,,
U,Akhila Kerala Trinamool Party,2,0,2,806,0.003983677203921223,20232563,,,,,
U,Ambedkarite Party of India,5,0,5,1108,0.00547632052350461,20232563,,,,,
U,Bharath Dharma Jana Sena,36,0,20,795797,3.933248595346027,20232563,,,,,
U,Congress (Secular),1,1,0,54347,0.2686115446668818,20232563,,,,,
U,Communist Marxist Party Kerala State Committee,2,1,0,120158,0.5938842251473528,20232563,,,,,
U,Communist Party of India (Marxist-Leninist) (Liberation),1,0,1,116,0.0005733331956015656,20232563,,,,,
U,Communist Party of India (Marxist-Leninist) Red Star,18,0,18,5549,0.027426085365457653,20232563,,,,,
U,Indian Gandhiyan Party,3,0,3,782,0.003865056542762279,20232563,,,,,
U,Indian National League,3,0,1,112261,0.5548530850985117,20232563,,,,,
U,Kerala Congress Secular,1,0,1,292,0.0014432180441004928,20232563,,,,,
U,Kerala Congress (Skariah Thomas),1,0,0,31537,0.1558724912904015,20232563,,,,,
U,Kerala Congress,3,0,3,37108,0.18340731226192153,20232563,,,,,
U,Kerala Congress (B),1,1,0,74429,0.36786738289162874,20232563,,,,,
U,Kerala Congress (Jacob),1,1,0,73770,0.364610257237306,20232563,,,,,
U,Kerala Janatha Party,3,0,3,1186,0.00586183767227118,20232563,,,,,
U,Marxist Communist Party of India (United),1,0,1,200,0.0009885055096578719,20232563,,,,,
U,National Secular Conference,2,1,0,130843,0.6466951320008246,20232563,,,,,
U,Peoples Democratic Party,60,0,60,47949,0.23698925341292648,20232563,,,,,
U,Peoples Green Party,1,0,1,485,0.0023971258609203393,20232563,,,,,
U,Socialistic Democratic Party,1,0,1,564,0.0027875855372351986,20232563,,,,,
U,SOCIAL DEMOCRATIC PARTY OF INDIA,88,0,88,123241,0.6091220375787288,20232563,,,,,
U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),31,0,31,10858,0.053665964119325865,20232563,,,,,
U,Welfare Party Of India,41,0,41,61653,0.3047216509346839,20232563,,,,,
Z,Independent,438,6,424,1067203,5.274680227117049,20232563,,,,,
Z1,None of the Above,140,0,140,107245,0.5300613669162924,20232563,,,,,
N,N_TOTAL,372,102,136,14218915,70.2773790942848,20232563,140.0,1343.0,9.592857142857143,1.0,438.0
S,S_TOTAL,48,27,0,2813927,13.907911716375233,20232563,140.0,1343.0,9.592857142857143,1.0,438.0
O,O_TOTAL,39,0,33,340234,1.681615917864682,20232563,140.0,1343.0,9.592857142857143,1.0,438.0
U,U_TOTAL,306,5,280,1685039,8.328351677441955,20232563,140.0,1343.0,9.592857142857143,1.0,438.0
Z,Z_TOTAL,578,6,564,1174448,5.804741594033342,20232563,140.0,1343.0,9.592857142857143,1.0,438.0
